,Antigua & Barbuda,Argentina,Australia,Austria,Belgium,Belize,Benin,Brazil,Bulgaria,Cambodia,Cameroon,Chile,"China, People's Rep.",Colombia,"Congo, Republic of",Costa Rica,Cote d'Ivoire,Croatia,Cyprus,Czech Republic,Denmark,Dominica,Dominican Republic,Ecuador,Egypt,Eritrea,Estonia,Finland,France,Gabon,Gambia,Germany,"Ghana, Rep. of",Greece,Grenada,Guatemala,"Guinea, Rep. of",Guinea-Bissau,Hungary,Iceland,India,Ireland,Israel,Italy,Jamaica,Japan,Kenya,Kiribati,"Korea, Republic of","Lao, People's Dem. Rep.","Liberia, Republic of",Lithuania,Luxembourg,Mali,"Marshall Islands, Rep. of",Mauritania,Mexico,Monaco,Mongolia,Morocco,Nauru,Netherlands,New Zealand,Nicaragua,Norway,Oman,"Palau, Rep. of",Panama,Peru,Philippines,Poland,Portugal,Romania,Russian Federation,San Marino,Sao Tome & Principe,Senegal,Seychelles,Slovak Republic,Slovenia,Solomon Islands,South Africa,Spain,St. Kitts and Nevis,St. Lucia,St. Vincent & G.,Suriname,Sweden,Switzerland,Tanzania,Togo,Tuvalu,UK,Uruguay,USA,USSR,Venezuela
Mauritania,32.0,0.0,3.0,1.0,1.0,2.0,34.0,0.0,1.0,14.0,16.0,0.0,19.0,0.0,,0.0,22.0,1.0,1.0,1.0,12.0,28.0,0.0,0.0,,5.0,0.0,2.0,1.0,25.0,7.0,1.0,3.0,0.0,35.0,0.0,31.0,2.0,0.0,31.0,4.0,2.0,1.0,2.0,,33.0,6.0,19.0,24.0,7.0,2.0,0.0,1.0,8.0,8.0,36.0,0.0,1.0,32.0,19.0,18.0,2.0,2.0,24.0,33.0,7.0,28.0,5.0,1.0,,1.0,2.0,,29.0,1.0,2.0,16.0,,1.0,2.0,23.0,3.0,2.0,28.0,31.0,22.0,26.0,4.0,6.0,5.0,4.0,28.0,2.0,0.0,2.0,,
Mexico,16.0,135.0,143.0,140.0,47.0,10.0,3.0,143.0,2.0,1.0,0.0,138.0,33.0,13.0,,21.0,2.0,13.0,11.0,36.0,80.0,9.0,14.0,15.0,1.0,0.0,14.0,143.0,144.0,17.0,0.0,149.0,2.0,5.0,5.0,3.0,3.0,0.0,41.0,2.0,106.0,142.0,26.0,116.0,,11.0,10.0,2.0,54.0,2.0,0.0,1.0,38.0,0.0,0.0,0.0,199.0,133.0,4.0,8.0,1.0,142.0,147.0,2.0,16.0,92.0,3.0,38.0,49.0,0.0,16.0,57.0,,34.0,59.0,0.0,3.0,11.0,35.0,21.0,9.0,149.0,149.0,5.0,17.0,17.0,1.0,147.0,138.0,2.0,1.0,4.0,148.0,17.0,143.0,0.0,
Monaco,18.0,131.0,164.0,145.0,46.0,10.0,1.0,157.0,3.0,1.0,1.0,138.0,17.0,13.0,,19.0,1.0,12.0,10.0,35.0,73.0,5.0,13.0,14.0,1.0,0.0,12.0,155.0,159.0,15.0,0.0,164.0,0.0,6.0,5.0,3.0,1.0,0.0,40.0,4.0,118.0,136.0,24.0,118.0,,4.0,10.0,1.0,30.0,1.0,1.0,1.0,36.0,0.0,1.0,1.0,133.0,182.0,1.0,6.0,1.0,164.0,164.0,3.0,6.0,93.0,1.0,34.0,47.0,0.0,15.0,57.0,,27.0,59.0,1.0,2.0,10.0,32.0,20.0,5.0,141.0,157.0,4.0,7.0,8.0,1.0,142.0,131.0,1.0,0.0,1.0,161.0,17.0,161.0,0.0,
Mongolia,70.0,2.0,5.0,6.0,4.0,6.0,63.0,1.0,1.0,25.0,21.0,2.0,45.0,1.0,,0.0,27.0,3.0,2.0,3.0,26.0,54.0,1.0,0.0,,3.0,3.0,6.0,4.0,43.0,7.0,5.0,15.0,0.0,67.0,0.0,66.0,3.0,2.0,54.0,5.0,4.0,4.0,5.0,,74.0,8.0,33.0,45.0,21.0,3.0,0.0,4.0,8.0,10.0,32.0,4.0,1.0,76.0,40.0,27.0,6.0,6.0,33.0,67.0,12.0,58.0,29.0,2.0,,4.0,2.0,,62.0,1.0,3.0,17.0,,3.0,5.0,49.0,6.0,5.0,66.0,70.0,46.0,32.0,8.0,10.0,15.0,9.0,43.0,6.0,0.0,7.0,,
Morocco,48.0,7.0,9.0,9.0,5.0,4.0,38.0,7.0,1.0,15.0,13.0,8.0,37.0,2.0,,3.0,23.0,4.0,4.0,3.0,26.0,39.0,1.0,3.0,,5.0,4.0,12.0,11.0,20.0,3.0,9.0,8.0,0.0,48.0,1.0,49.0,0.0,2.0,35.0,9.0,16.0,6.0,10.0,,50.0,6.0,24.0,42.0,11.0,3.0,0.0,5.0,4.0,6.0,19.0,8.0,6.0,40.0,83.0,17.0,9.0,10.0,20.0,51.0,24.0,32.0,30.0,8.0,,5.0,3.0,,39.0,6.0,3.0,7.0,,4.0,5.0,44.0,11.0,11.0,46.0,49.0,50.0,18.0,12.0,14.0,11.0,4.0,23.0,9.0,1.0,10.0,,
Nauru,25.0,0.0,4.0,2.0,2.0,1.0,23.0,0.0,1.0,20.0,12.0,0.0,14.0,0.0,,0.0,17.0,1.0,2.0,1.0,10.0,14.0,0.0,0.0,,3.0,1.0,3.0,2.0,15.0,7.0,2.0,9.0,0.0,23.0,0.0,20.0,3.0,0.0,26.0,3.0,2.0,2.0,3.0,,27.0,6.0,24.0,18.0,15.0,3.0,0.0,2.0,8.0,10.0,18.0,1.0,1.0,27.0,17.0,27.0,3.0,3.0,11.0,25.0,6.0,18.0,2.0,0.0,,2.0,2.0,,25.0,1.0,3.0,9.0,,1.0,3.0,13.0,4.0,3.0,23.0,26.0,18.0,23.0,5.0,6.0,11.0,9.0,24.0,3.0,0.0,5.0,,
Netherlands,22.0,141.0,183.0,159.0,47.0,9.0,4.0,174.0,3.0,4.0,1.0,150.0,18.0,12.0,,18.0,5.0,13.0,10.0,36.0,85.0,3.0,13.0,12.0,1.0,0.0,15.0,182.0,181.0,16.0,1.0,188.0,3.0,4.0,7.0,2.0,5.0,1.0,40.0,5.0,126.0,155.0,26.0,124.0,,8.0,11.0,5.0,33.0,5.0,1.0,1.0,38.0,2.0,1.0,2.0,142.0,164.0,6.0,9.0,3.0,200.0,188.0,3.0,11.0,102.0,3.0,33.0,46.0,0.0,18.0,59.0,,30.0,57.0,1.0,4.0,16.0,34.0,23.0,4.0,159.0,178.0,6.0,8.0,10.0,3.0,165.0,151.0,4.0,1.0,7.0,187.0,16.0,188.0,0.0,
New Zealand,23.0,141.0,189.0,163.0,50.0,10.0,5.0,176.0,3.0,4.0,1.0,146.0,18.0,11.0,,18.0,5.0,14.0,11.0,38.0,81.0,4.0,12.0,13.0,1.0,1.0,14.0,176.0,185.0,15.0,0.0,190.0,4.0,6.0,7.0,3.0,5.0,0.0,43.0,6.0,128.0,150.0,27.0,126.0,,10.0,11.0,5.0,36.0,5.0,1.0,1.0,40.0,0.0,1.0,2.0,147.0,164.0,6.0,10.0,3.0,188.0,200.0,3.0,12.0,94.0,3.0,36.0,46.0,0.0,17.0,59.0,,28.0,59.0,1.0,3.0,16.0,35.0,22.0,4.0,154.0,176.0,6.0,9.0,8.0,2.0,155.0,146.0,5.0,1.0,6.0,191.0,15.0,185.0,0.0,
Nicaragua,37.0,2.0,4.0,3.0,3.0,6.0,37.0,2.0,1.0,7.0,15.0,2.0,26.0,0.0,,1.0,14.0,2.0,2.0,2.0,13.0,36.0,0.0,1.0,,,,3.0,3.0,22.0,5.0,3.0,,1.0,37.0,,36.0,0.0,2.0,36.0,3.0,4.0,2.0,3.0,,37.0,4.0,12.0,25.0,1.0,1.0,0.0,2.0,6.0,7.0,24.0,2.0,3.0,33.0,20.0,11.0,3.0,3.0,41.0,38.0,5.0,36.0,17.0,3.0,,1.0,3.0,,35.0,2.0,1.0,13.0,,2.0,2.0,32.0,2.0,3.0,33.0,37.0,26.0,19.0,4.0,3.0,1.0,4.0,21.0,3.0,1.0,2.0,,
Norway,125.0,6.0,13.0,11.0,5.0,6.0,64.0,9.0,1.0,23.0,21.0,12.0,99.0,2.0,,1.0,26.0,3.0,3.0,3.0,76.0,136.0,2.0,1.0,0.0,3.0,4.0,15.0,13.0,43.0,7.0,14.0,14.0,0.0,142.0,0.0,90.0,3.0,2.0,68.0,10.0,16.0,5.0,8.0,,177.0,6.0,31.0,96.0,19.0,2.0,0.0,5.0,8.0,9.0,33.0,16.0,6.0,67.0,51.0,25.0,11.0,12.0,38.0,196.0,29.0,61.0,48.0,7.0,0.0,5.0,4.0,,109.0,4.0,2.0,17.0,4.0,3.0,6.0,131.0,14.0,14.0,102.0,165.0,142.0,31.0,20.0,25.0,14.0,8.0,41.0,16.0,1.0,16.0,7.0,
